radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
305.969371,0.721,19.912497,0.654,4,13.523,0.05,14.78,0.076,14.401,0.416,13.071,0.087,12.801,0
305.970975,0.75,19.928582,0.672,2,14.6,0.081,15.081,0.006,15.569,0,14.293,0,NA,NA
305.973182,1.073,19.894814,0.805,4,14.195,0.09,14.501,0.139,14.701,0.412,14.194,0.051,NA,NA
305.973422,0.403,19.999276,0.382,4,13.875,0.033,14.815,0.008,14.634,0.411,13.479,0.061,13.375,0
305.97777,0.365,19.878937,0.539,2,14.539,0.016,15.233,0.034,15.479,0,14.291,0,NA,NA
305.979156,0.953,19.940214,1.129,3,14.722,0.064,15.213,0.039,15.032,0,14.504,0,NA,NA
305.980253,1.005,19.94572,0.675,3,14.734,0.053,15.523,0.085,15.499,0.388,14.257,0.023,NA,NA
305.985432,0.418,19.859658,0.646,4,13.247,0.066,14.161,0.101,14.082,0.457,12.833,0.068,12.642,0.144
305.987127,0.938,19.783656,0.617,4,14.062,0.051,15.287,0.017,14.941,0.39,13.52,0.079,13.234,0.006
305.988432,0.715,19.814025,0.471,2,14.458,0.132,15.014,0.006,15.404,0,14.097,0,NA,NA
305.990797,0.684,19.83762,0.9,2,14.927,0.034,15.451,0.052,15.901,0,14.734,0,NA,NA
305.991796,0.542,19.942591,1.001,3,14.551,0.039,15.355,0.199,15.147,0.448,14.286,0.082,14.184,0
305.992724,1.106,19.966452,1.42,2,15.62,0,16.392,-0.158,15.845,0,NA,NA,NA,NA
305.99745,0.685,19.834614,0.679,4,14.13,0.051,15.486,0.074,15.074,0.326,13.575,0.1,12.495,0.03
305.999302,0.796,19.948667,0.419,3,14.5,0,15.475,0,15.279,0.313,14.108,0.05,13.91,0
306.000057,0.952,19.818922,0.365,2,13.587,0.089,14.347,0.349,14.257,0.379,13.38,0.026,13.51,0
306.000811,0.616,19.953591,1.099,2,15.009,0.034,15.715,0.118,16.135,0,14.722,0,NA,NA
306.000851,0.724,19.984219,0.755,2,15.142,0,16.037,0,15.832,0.554,14.641,0,14.634,0
306.001485,0.814,19.976543,1.425,2,15.822,0.084,16.735,0.073,16.135,0,NA,NA,15.336,0
306.003861,0.457,19.869957,0.507,4,13.286,0.037,13.474,0.097,13.561,0.402,13.255,0.039,13.501,0.137
